day,date,workout_type,total_minutes,segments,goal,requires_activity_file
1,2026-02-19,easy_hills,45,10m@8/0 + 10m@8/0 + 10m@6/12 + 10m@8/0 + 5m@7/0,Solid easy run with a hill block,yes
2,2026-02-20,rest,0,Rest day,Recovery,no
3,2026-02-21,speed,42,10m@7.5/0 + 8x(1m@12/0 + 90s@7/0) + 12m@7/0,Fast flat intervals,yes
4,2026-02-22,long_easy_hills,55,10m@7.5/0 + 15m@7.5/0 + 12m@6/12 + 13m@7.5/0 + 5m@7/0,Long run with 12 min hill,yes
5,2026-02-23,rest,0,Rest day or 30m walk,Recovery,no
6,2026-02-24,tempo,48,10m@7.5/0 + 3x(8m@10.5/0 + 2m@7/0) + 8m@7/0,Tempo at threshold pace,yes
7,2026-02-25,rest,0,Rest day,Recovery,no
8,2026-02-26,easy_hills,50,10m@7.5/0 + 10m@7.5/0 + 14m@6/12 + 11m@7.5/0 + 5m@7/0,Easy volume with longer hill block,yes
9,2026-02-27,speed,46,10m@7.5/0 + 10x(1m@12/0 + 90s@7/0) + 11m@7/0,More reps at same speed — build endurance at 12,yes
10,2026-02-28,rest,0,Rest day,Recovery,no
11,2026-03-01,long_progression_hills,60,10m@7.5/0 + 15m@7.5/0 + 14m@6/12 + 10m@9/0 + 6m@10/0 + 5m@7/0,Long run: longer hill then moderate finish,yes
12,2026-03-02,recovery_run,38,10m@7.5/0 + 23m@8/0 + 5m@7/0,"Flush run, but nudge easy pace up",yes
13,2026-03-03,speed,49,10m@7.5/0 + 12x(1m@12.5/0 + 75s@7/0) + 12m@7/0,"Start 12.5 with more density, not just a pace bump",yes
14,2026-03-04,rest,0,Rest day,Recovery,no
15,2026-03-05,tempo,52,10m@7.5/0 + 2x(15m@11/0 + 3m@7/0) + 6m@7/0,Move threshold work to 11 km/h sooner,yes
16,2026-03-06,rest,0,Rest day or easy walking only,Foot reset after pain flare and failed workout,no
17,2026-04-06,recovery_run,28,3m@5/0 + 5x(2m@7/0 + 2m@5/0) + 5m@5/0,Walk/run return — test the back gently,yes
18,2026-04-07,rest,0,Rest day,Recovery,no
19,2026-04-08,recovery_run,28,3m@5/0 + 5x(2m@7/0 + 2m@5/0) + 5m@5/0,Walk/run — same pattern to build consistency,yes
20,2026-04-09,rest,0,Rest day,Recovery,no
21,2026-04-10,recovery_run,30,3m@5/0 + 6x(2m@7/0 + 2m@5/0) + 3m@5/0,Walk/run — one more interval added,yes
22,2026-04-11,rest,0,Rest day,Recovery,no
23,2026-04-12,rest,0,Rest day,Extra rest to close week 1,no
24,2026-04-13,recovery_run,30,3m@5/0 + 5x(3m@7/0 + 2m@5/0) + 2m@5/0,Walk/run — longer jog intervals,yes
25,2026-04-14,rest,0,Rest day,Recovery,no
26,2026-04-15,recovery_run,32,3m@5/0 + 5x(4m@7/0 + 1m@5/0) + 4m@5/0,Walk/run — 4 min jog blocks with short walks,yes
27,2026-04-16,rest,0,Rest day,Recovery,no
28,2026-04-17,recovery_run,35,3m@5/0 + 6x(4m@7/0 + 1m@5/0) + 2m@5/0,Walk/run — longest session yet,yes
29,2026-04-18,rest,0,Rest day,Recovery,no
30,2026-04-19,easy,30,5m@6.5/0 + 20m@7/0 + 5m@6.5/0,First continuous easy run — go by feel,yes
31,2026-04-20,rest,0,Rest day,Recovery after first continuous run,no
32,2026-04-21,easy,35,10m@7/0 + 20m@7.5/0 + 5m@7/0,Easy flat — rebuild aerobic base,yes
33,2026-04-22,rest,0,Rest day,Recovery,no
34,2026-04-23,easy,35,10m@7/0 + 20m@7.5/0 + 5m@7/0,Easy flat — consistency matters,yes
35,2026-04-24,rest,0,Rest day,Recovery,no
36,2026-04-25,easy,38,10m@7.5/0 + 23m@7.5/0 + 5m@7/0,Easy flat — nudge volume up,yes
37,2026-04-26,rest,0,Rest day,Recovery,no
38,2026-04-27,easy,38,10m@7.5/0 + 23m@7.5/0 + 5m@7/0,Easy flat — hold steady,yes
39,2026-04-28,rest,0,Rest day,Recovery,no
